id,korean,english,sample_sentence
179,돌고래,dolphin,"2시에 돌고래 쇼가 있대요. / They say that there is a dolphin show at 2 o'clock. "
180,오징어,squid,"햇볕에 오징어를 건조시킵니다. / Let's dry squid out in the sun. "
181,개,dog,"개가 낯선 사람에게 막 짖고 있습니다. / The dog is barking harshly at strangers. "
182,고양이,cat,"집에 고양이 한 마리가 있습니다. / I have a cat at home. "
183,햄스터,hamster,"한국에서는 햄스터를 대형마트나 애완동물샵에서 살 수 있습니다. / Pet hamsters can be bought at large discount department stores or in pet shops in Korea. "
184,따뜻한,warm,"겨울에는 따뜻한 코트를 입는다. / In winter I wear a warm coat. "
185,비,rain,"거리에 비가 내리고 있다. / The rain is falling on the street. "
186,토마토,tomato,"토마토 주스 한 잔 주세요. / Please give me a cup of tomato juice. "
187,딸기,strawberry,"사과 말고 딸기가 좋아요. / I like strawberry not apple. "
188,체리,cherry,"체리 먹고 싶어요. / I want to eat cherries. "
189,아이,child,"우리 아이는 아주 튼튼하다 / My child is very healthy. "
190,친구,friend,"공원에서 친구를 만났어요. / I met a friend at the park. "
191,성인,adult,"비만은 성인병의 주요 원인입니다. / Obesity is a main cause of adult illnesses. "
192,자전거,bicycle,"자전거는 차고에 있어요. / The bicycle is in the garage. "
193,자동차,car,"어떤 자동차예요? / What kind of car is it? "
194,오토바이,motorcycle,"오토바이로 가는 것이 더 빠를 거야. / Going by motorcycle will be faster. "
195,스쿠터,scooter,"도심에서는 스쿠터 타는 것이 편리해요. / Scooters are convenient in the city. "
196,배,boat,"낚싯배의 행렬은 아름다운 장관을 연출합니다. / The fishing boat parade creates a beautiful scenery. "
197,해파리,jellyfish,"해파리들이 물 속에서 솟아 올라가고 있다. / The jellyfish are bobbing in the water. "
198,바닷가재,lobster,"바닷가재는 정말 비싸요. / Lobsters are very expensive. "
199,게,crab,"게는 보통 옆으로 걸어요. / Crabs usually walk side-ways. "
200,거북이,turtle,"바다 거북이가 바다에서 수영하고 있다. / The sea turtle is swimming in the sea. "
201,헬리콥터,helicopter,"헬리콥터 소리 때문에 아무것도 안 들려요. / I can't hear anything because of the sound of the helicopter. "
202,검은,black,"검은색 티셔츠 입어도 돼요? / Can I wear a black t-shirt? "
203,갈색,brown,"제 눈은 갈색이에요. / My eyes are brown. "
204,회색,gray,"회색으로 주세요. / Give me the gray one. "
205,쉬다,rest,"늦어서 쉬려고요. / It is late so I am going to rest. "
206,듣다,hear,"잘 안 들려요. / I cannot hear you clearly. "
207,바라다,want,"오늘 다른 것을 해보기를 바라고 있어요. / I want to try something different today. "
208,역겨운,disgusting,"내 친구는 역겨운 음식을 좋아한다. / My friend likes disgusting food. "
209,십일,eleven,"이 백화점은 십일 층까지 있어요. / This department store has eleven floors. "
210,십이,twelve,"십이 나누기 이는 육이다. / Twelve divided by six is two. "
211,십삼,thirteen,"그는 십삼 년 동안 갖은 고생을 배겨 냈다 / He put up with all sorts of hardship for thirteen years. "
212,메일,e-mail,"너 이메일 주소 알려줄래? / Can you tell me your e-mail address? "
213,휴대폰,cellular phone,"거의 모든 지역에서 휴대폰으로 전화를 걸 수 있습니다. / With a cellular phone"
214,문자,text message,"전화 통화 못 하니까 문자로 이야기해요. / I can't talk on the phone so let's talk through text messages. "
215,입,mouth,"입을 크게 벌려 봐. / Open your mouth wide. "
216,볼,cheek,"볼을 깨물어서 염증이 생겼습니다. / I bit my cheek"
217,코,nose,"코가 간지러워요. / My nose is itchy. "
218,공책,notebook,"공책 좀 빌려 줘. / Please"
219,연필,pencil,"연필은 상 뒤에 있어요. / The pencil is behind the table. "
220,지우개,eraser,"학생이었을 때 친구들과 지우개 게임을 자주 했습니다. / When I was a student"
221,하얀,white,"새하얀 운동화를 샀어요. / I've bought a white pair of tennis shoes. "
222,빨간,red,"저기 빨간 벽돌 집 보여요? / Do you see that red brick house over there? "
223,녹색,green,"맞아요"
224,끝나다,finish,"수업은 몇 시에 끝나? / When will your class finish? "
225,시작하다,start,"사업을 새로 시작했어요. / I started a new business. "
226,...이 되다,become,"어떤 사람이 되고 싶어요? / Who do you want to become? "
227,십사,fourteen,"그는 우리 집에서 약 십사 마일 거리에 살어. / He lives about fourteen miles away from my house. "
228,십오,fifteen,"약 십오 분이 지나서야 친구는 나타났다. / About fifteen minutes later"
229,십육,sixteen,"우리 이제 십육 분 남았어. / We have sixteen minutes left. "
230,전화,telephone,"전화 쓸 수 있어요? / Can I use the telephone? "
231,눈,eye,"그 여자는 눈이 참 예뻐. / She has really beautiful eyes. "
232,이,teeth,"이가 너무 아파요. / My teeth hurt so much. "
233,입술,lip,"그녀는 도톰한 입술로 유명합니다. / She is famous for her thick lips. "
234,복사기,copy machine,"복사기가 고장났어요. / The copy machine is out of order. "
235,책상,desk,"그 사람은 갑자기 책상을 내리쳤어요. / He suddenly slammed the desk. "
236,책,book,"가방에 책을 넣었어요. / I put the book in my bag. "
237,펜,pen,"옷에 볼펜이 묻었어요. / I got a pen stain on my clothes. "
238,우체국,post office,"이 거리에는 우체국이 있습니다. / There is a post office on this street. "
239,도서관,library,"공공 도서관에 갔어요. / I went to the public library. "
240,슈퍼,supermarket,"슈퍼에 사람이 너무 많아요. / There are too many people at the supermarket. "
241,도움,help,"도움을 받고 싶은데요. / I need some help. "
242,배우다,learn,"제가 배울 수 있는 사람들을 존경해요. / I respect people I can learn from. "
243,움직이다,move,"손가락을 움직일 수 있어요? / Can you move your finger? "
244,열일곱,seventeen,"세븐틴의 멤버는 열일곱명이 아니예요. / Seventeen does not have seventeen members. "
245,열여덟,eighteen,"그 남자는 열여덟 살입니다. / He is eighteen years old. "
246,열아홉,nineteen,"나는 열아홉 개의 단추가 필요해요. / I need nineteen buttons. "
247,스물,twenty,"저는 스물일곱 살입니다. / I am twenty-seven years old. "
248,목,neck,"기린은 아주 긴 목을 가지고 있습니다. / Giraffes have very long necks. "
249,얼굴,face,"여자친구가 무서운 장면에서 얼굴을 돌렸다. / My girlfriend turned away during the scary scene. "
250,귀,ear,"귀가 아파요. / My ear hurts. "
251,머리,hair,"그녀의 금발머리가 부럽다. / I envy her blonde hair. "
252,산,mountain,"남산에 언제 한번 가볼래요? / Would you like to go to Namsan? "
253,바닷가,beach,"바닷가에 갈 때는 선크림을 바르세요. / Apply sunscreen when you go to the beach. "
254,열대 우림,rainforest,"아마존 열대우림은 매우 커요. / The Amazon rainforest is very large. "
255,섬,island,"남이섬은 한국 드라마 '겨울연가'의 촬영지입니다. / Nami Island is the filming location of the Korean drama 'Winter Sonata'. "
256,사전,dictionary,"사전에도 안 나와 있어요. / It's not in the dictionary. "
257,파란,blue,"파란색 버튼 보여요? / Do you see the blue button? "
258,노란,yellow,"노란색으로 칠했어요. / I painted it yellow. "
259,오렌지,orange,"오렌지색 가방에 들어 있어요. / It's in the orange bag. "
260,색,color,"강렬한 색깔입니다. / It's a vibrant color. "
261,지루한,boring,"이 토크쇼는 너무 지루해요! / This talk show is so boring! "
262,흥미진진한,exciting,"흥미진진한 영화를 봤어요. / I saw an exciting movie. "
263,중요한,important,"오늘 중요한 회의가 있어요. / I have an important meeting today. "
264,신용카드,credit card,"신용카드가 네 장 있습니다. / I have four credit cards. "
265,열쇠,key,"열쇠를 문앞에 두고 갈게요. / I'll leave the key in front of the door. "
266,운전면허,driver's license,"운전면허증은 항상 가지고 다니세요. / Always carry your driver's license. "
267,숲,forest,"너구리가 숲 속에서 땅콩을 먹고 있다. / A raccoon is eating peanuts in the forest. "
268,강,river,"여기는 강물이 정말 빨리 흐르네요. / The river flows very fast here. "
269,바다,ocean,"돌고래가 바다에서 수영하고 있다. / A dolphin is swimming in the sea. "
270,호수,lake,"저는 호수 근처에 살아요. / I live near the lake. "
271,문서,document,"가장 최근의 문서를 보내주실 수 있나요? / Can you send me the latest document? "
272,컴퓨터,computer,"내 컴퓨터 쓰지마! / Don't use my computer! "
273,팩스기,fax machine,"팩스기가 있나요? / Do you have a fax machine? "
274,프린터,printer,"프린터에 잉크가 없어요. / The printer is out of ink. "
275,샤프,mechanical pencil,"이 샤프 어디에서 샀어요? / Where did you buy this mechanical pencil? "
276,자,ruler,"자를 대고 줄을 그어라. / Draw a line using a ruler. "
277,마커,marker,"마커 잉크가 부족하다. / The marker is low on ink. "
278,은행,bank,"그녀는 은행원입니다. / She is a banker. "
279,편의점,convenience store,"편의점에서 아르바이트를 해요. / I work part-time at a convenience store. "
280,병원,hospital,"내 대신 병원에 갈래? / Can you go to the hospital for me? "
281,지갑,wallet,"내 지갑 어디 있어? / Where is my wallet? "
282,지갑,purse,"어제 지갑을 잃어버렸어. / I lost my purse yesterday. "
283,주문,order,"다시 주문할지도 몰라요. / I might order again. "
284,들판,field,"들판에 양 백 오십 마리가 있다. / There are 150 sheep in the field. "
285,사막,desert,"태양은 뜨거운 사막의 열을 올리고 있다. / The sun is heating up the desert. "
286,사장,boss,"사장님이 친절해서 좋아요. / I like my boss because he is kind. "
287,사무실,office,"그의 사무실은 빌딩 3층에 있다. / His office is on the third floor of the building. "
288,동료,coworker,"나만 빼고 내 동료들은 전부 테니스를 친다. / All my coworkers except me play tennis. "
289,회의,meeting,"오늘 회의는 취소되었어요. / Today's meeting has been canceled. "
290,경찰서,police station,"경찰서에 가야 해요. / I need to go to the police station. "
291,약국,pharmacy,"저는 약국에서 일해요. / I work at a pharmacy. "
292,빵집,bakery,"맛있는 빵집을 알아요. / I know a delicious bakery. "
293,영화관,movie theater,"이따가 영화관 앞에서 봐! / See you later in front of the movie theater! "
294,협상,negotiation,"이년간의 협상 후"
295,계약,contract,"계약직 장그래씨는 결국 퇴사를 했다. / Jang Geu-rae"
296,사업,business,"그녀도 친구의 사업에 동참했다. / She also joined her friend's business. "
297,거래,deal,"우리는 거래를 한거에요. / We made a deal. "
298,바쁜,busy,"바쁜 것은 압니다. 하지만 내 변호사를 불러주시겠어요? / I know you're busy"
299,심각한,serious,"저 사람은 진짜 심각한 사람이야. / He is a very serious person. "
300,피곤하다,tired,"진짜 피곤하다. / I'm really tired. "
301,상사,superior,"우리 상사는 정말 침착하십니다. / My boss is very calm. "
302,회사,company,"그 분이 우리 회사 이사님이세요. / He is the director of our company. "
303,급여,salary,"급여 조건이 어떻게 됩니까? / What is the salary? "
304,라디오,radio,"라디오에서 들은 음악이에요. / It's the music I heard on the radio. "
305,텔레비전,television,"텔레비전이 조만간 배달될 겁니다. / The TV will be delivered soon. "
306,인터넷,Internet,"인터넷 돼요? / Is the internet working? "
307,신문,newspaper,"그 신문 이리 줘. / Give me that newspaper. "
308,뉴스 채널,news channel,"저녁에 뉴스 채널을 켜요. / I turn on the news channel in the evening. "
309,악기,musical instrument,"악기 연주할 수 있어요? / Can you play a musical instrument? "
310,그림,painting,"미술 시간에 이 그림을 그렸어요. / I drew this picture in art class. "
311,극장,theater,"극장은 어디에 있어요? / Where is the theater? "
312,뮤지컬,musical,"뮤지컬 티켓을 받았어요. / I got a musical ticket. "
313,오페라,opera,"예술의 전당에서 공연하는 오페라에 갔어요. / I went to the opera at the Seoul Arts Center. "
314,휴식을 취하다,relax,"휴식을 취하면 안돼? / Can't you take a break? "
315,화이트 보드,whiteboard,"선생님이 화이트 보드에 적고 있어요. / The teacher is writing on the whiteboard. "
316,칠판,blackboard,"칠판이 안 보여요. / I can't see the blackboard. "
317,시험,test,"그 시험 어려워! / That test is difficult! "
318,교과서,textbook,"저는 한국어 교과서가 세 권 있습니다. / I have three Korean textbooks. "
319,앞,front,"열쇠를 문앞에 두고 갈게요. / I'll leave the keys in front of the door. "
320,직업,job,"재미있는 직업인 것 같아요. / It seems like an interesting job. "
321,대통령,president,"곧 대통령 선거가 있어요. / There will be a presidential election soon. "
322,산업,industry,"한국의 문화 콘텐츠 산업은 한류의 열풍으로 급성장하고 있다. / Korea's cultural content industry is growing rapidly due to the Korean Wave. "
323,벨트,belt,"벨트가 너무 짧아요. / The belt is too short. "
324,동전,coin,"동전을 차곡차곡 모으고 있어요. / I'm collecting coins. "
325,돈,money,"돈을 빌려 주세요. / Please lend me some money. "
326,현금 카드,debit card,"현금 카드를 잃어버려서 경찰서에 가야했어요. / I lost my debit card"
327,계산서,bill,"계산서 갖다 주실래요? / Can I have the bill"
328,사진 촬영,photography,"제 취미는 사진 촬영입니다. / My hobby is photography. "
329,벗다,take off,"신발을 벗지 마세요. / Please don't take off your shoes. "
330,침실,bedroom,"우리 부모님은 침실을 같이 사용합니다. / My parents share a bedroom. "
331,부엌,kitchen,"부엌에서 요리를 하고 있어요. / I'm cooking in the kitchen. "
332,화장실,bathroom,"화장실이 참 깨끗해요. / The bathroom is very clean. "
333,졸업식,graduation,"오늘은 저희 학교 졸업식이에요. / Today is our school's graduation ceremony. "
334,승진,promotion,"승진 축하드립니다. / Congratulations on your promotion. "
335,기념일,anniversary,"달력에 우리 기념일을 적어 놨어. / I marked our anniversary on the calendar. "
336,장례식,funeral,"장례식에 다녀왔어요. / I went to a funeral. "
337,결혼,wedding,"결혼식은 잘 진행되었어요. / The wedding went well. "
338,설명하다,explain,"한번 더 설명해주시겠어요? / Could you explain it one more time? "
339,뒤,back,"집 뒤에 정원이 있어요. / There is a garden behind the house. "
340,동쪽,east,"일본은 한국의 동쪽에 있습니다. / Japan is east of Korea. "
341,넥타이,necktie,"만약 넥타이를 잘 매지 않으면 게으름뱅이처럼 보일거야. / If you don't tie your tie properly"
342,양복,suit,"양복이 전시되어 있습니다. / Suits are on display. "
343,운동화,sneaker,"제 운동화는 매우 편해요. / My sneakers are very comfortable. "
344,이십일,twenty-one,"그 빌딩은 이십일 층까지 있습니다. / The building has twenty-one floors. "
345,이십이,twenty-two,"그녀가 가장 좋아하는 숫자는 이십이입니다. / Her favorite number is twenty-two. "
346,삼십삼,thirty-three,"붓을 삽십삼 개 샀어요. / I bought thirty-three brushes. "
347,사십사,forty-four,"파티를 위해 테이블 사십사 개가 필요해요. / We need forty-four tables for the party. "
348,오십오,fifty-five,"제 텔레비전에는 오십오 개의 채널이 있어요. / My TV has fifty-five channels. "
349,학생,student,"그녀는 대학생입니다. / She is a college student. "
350,보다,watch,"거실에 가서 영화를 보자. / Let's go to the living room and watch a movie. "
351,교실,classroom,"교실이 너무 더러워요. / The classroom is very dirty. "
352,학교,school,"고등학교가 그리워요. / I miss high school. "
353,교실 의자,school chair,"교실 의자용 쿠션을 샀어요. / I bought a cushion for the school chair. "
354,교실 책상,school desk,"의자는 교실 책상에 붙어 있어요. / The chair is attached to the desk. "
355,인터넷을 하다,surf the internet,"매일밤 자기 전에 인터넷을 해요. / I surf the internet every night before going to bed. "
356,북쪽,north,"북쪽의 반대편은 남쪽이다. / The opposite of north is south. "
357,돌아오다,return,"남자가 직장에서 집으로 돌아왔다. 가족들이 그를 맞이한다. / The man came home from work and was greeted by his family. "
